ProductName|StringID
10-Year Audit Log Retention Add On|10_ALR_ADDON
Advanced Communications|ADV_COMMS
AI Builder Capacity add-on|CDSAICAPACITY
App Connect IW|SPZA_IW
App governance add-on to Microsoft Defender for Cloud Apps|Microsoft_Cloud_App_Security_App_Governance_Add_On
Microsoft 365 Audio Conferencing|MCOMEETADV
Microsoft 365 Audio Conferencing for faculty|MCOMEETADV_FACULTY
Microsoft Entra Basic|AAD_BASIC
Microsoft Entra ID P1|AAD_PREMIUM
Microsoft Entra ID P1 for faculty|AAD_PREMIUM_FACULTY
Microsoft Entra ID P1_USGOV_GCCHIGH|AAD_PREMIUM_USGOV_GCCHIGH
Microsoft Entra ID P2|AAD_PREMIUM_P2
Azure Information Protection Plan 1|RIGHTSMANAGEMENT
Azure Information Protection Plan 1|RIGHTSMANAGEMENT_CE
Azure Information Protection Premium P1 for Government|RIGHTSMANAGEMENT_CE_GOV
Azure Information Protection Premium P1_USGOV_GCCHIGH|RIGHTSMANAGEMENT_CE_USGOV_GCCHIGH
Basic Collaboration|OFFICEBASIC
Business Apps (free)|SMB_APPS
Career Coach for faculty|CAREERCOACH_FACULTY
Career Coach for students|CAREERCOACH_STUDENTS
Clipchamp Premium|Clipchamp_Premium
Clipchamp Standard|Clipchamp_Standard
Common Data Service for Apps File Capacity|CDS_FILE_CAPACITY
Common Data Service Database Capacity|CDS_DB_CAPACITY
Common Data Service Database Capacity for Government|CDS_DB_CAPACITY_GOV
Common Data Service Log Capacity|CDS_LOG_CAPACITY
Communications Credits|MCOPSTNC
Compliance Manager Premium Assessment Add-On|CMPA_addon
Compliance Manager Premium Assessment Add-On for GCC|CMPA_addon_GCC
Copilot for Microsoft 365|Microsoft_365_Copilot
Defender Threat Intelligence|Defender_Threat_Intelligence
Digital Messaging for GCC Test SKU|MESSAGING_GCC_TEST
Dynamics 365 - Additional Database Storage (Qualified Offer)|CRMSTORAGE
Dynamics 365 - Additional Production Instance (Qualified Offer)|CRMINSTANCE
Dynamics 365 - Additional Non-Production Instance (Qualified Offer)|CRMTESTINSTANCE
Dynamics 365 AI for Market Insights (Preview)|SOCIAL_ENGAGEMENT_APP_USER
Dynamics 365 Asset Management Addl Assets|DYN365_ASSETMANAGEMENT
Dynamics 365 Business Central Additional Environment Addon|DYN365_BUSCENTRAL_ADD_ENV_ADDON
Dynamics 365 Business Central Database Capacity|DYN365_BUSCENTRAL_DB_CAPACITY
Dynamics 365 Business Central Essentials|DYN365_BUSCENTRAL_ESSENTIAL
Dynamics 365 Business Central Essentials Attach|Dynamics_365_Business_Central_Essentials_Attach
Dynamics 365 Business Central External Accountant|DYN365_FINANCIALS_ACCOUNTANT_SKU
Dynamics 365 Business Central for IWs|PROJECT_MADEIRA_PREVIEW_IW_SKU
Dynamics 365 Business Central Premium|DYN365_BUSCENTRAL_PREMIUM
Dynamics 365 Business Central Team Members|DYN365_BUSCENTRAL_TEAM_MEMBER
Dynamics 365 Commerce|DYN365_RETAIL
Dynamics 365 Commerce Trial|DYN365_RETAIL_TRIAL
Dynamics 365 Plan 1 Enterprise Edition|DYN365_ENTERPRISE_PLAN1
Dynamics 365 Customer Insights Attach|DYN365_CUSTOMER_INSIGHTS_ATTACH
Dynamics 365 Customer Insights Standalone|DYN365_CUSTOMER_INSIGHTS_BASE
Dynamics 365 Customer Insights vTrial|DYN365_CUSTOMER_INSIGHTS_VIRAL
Dynamics 365 for Customer Service Chat for Government|DYN365_CS_CHAT_GOV
Dynamics 365 for Customer Service Digital Messaging add-on for Government|DYN365_CS_MESSAGING_GOV
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government|DYN365_CS_OC_MESSAGING_VOICE_GOV
Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test|DYN365_CS_OC_MESSAGING_VOICE_GOV_TEST
Dynamics 365 Customer Service Enterprise Viral Trial|Dynamics_365_Customer_Service_Enterprise_viral_trial
Dynamics 365 for Customer Service Enterprise Attach to Qualifying Dynamics 365 Base Offer A|D365_CUSTOMER_SERVICE_ENT_ATTACH
Dynamics 365 Customer Service Insights Trial|DYN365_AI_SERVICE_INSIGHTS
Dynamics 365 Customer Voice Trial|FORMS_PRO
Dynamics 365 Customer Service Professional|DYN365_CUSTOMER_SERVICE_PRO
Dynamics 365 Customer Voice|DYN365_CUSTOMER_VOICE_BASE
Dynamics 365 Customer Voice Additional Responses|Forms_Pro_AddOn
Dynamics 365 Customer Voice Additional Responses|DYN365_CUSTOMER_VOICE_ADDON
Dynamics 365 Customer Voice USL|Forms_Pro_USL
Dynamics 365 Enterprise Edition - Additional Database Storage for Government|CRMSTORAGE_GCC
Dynamics 365 - Additional Non-Production Instance for Government|CRMTESTINSTANCE_NOPREREQ
